"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_PLEITO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_SECAO";"NR_URNA_ESPERADA";"CD_CARGA_URNA_ESPERADA";"CD_FLASHCARD_URNA_ESPERADA";"DT_CARGA_URNA_ESPERADA";"ST_CORRESP_ALTERADA";"NR_LOCAL_VOTACAO";"NM_MAQUINA_GERACAO_MIDIA";"NR_SRI_TPM_GERACAO_MIDIA";"NR_SRI_INSTAL_GERACAO_MIDIA";"NM_MAQUINA_TRANSM_CORRESP";"NR_SRI_TPM_TRANSM_CORRESP";"NR_SRI_INSTAL_TRANSM_CORRESP"
"06/10/2024";"14:06:53";2024;452;"AL";"28835";"TRAIPU";20;43;2038341;831197448081208239904227;"487DF5BB";"2024-09-24 08:11:00";"N";1015;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27995";"MATA GRANDE";27;85;1775392;877978980591297298720448;"94321906";"2024-09-21 09:14:00";"N";1015;"RALWGERA17";"81F5D292195A952B571D";"123E0138";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27570";"GIRAU DO PONCIANO";44;22;2037147;767348120460022627340606;"F48FB007";"2024-09-24 09:57:00";"N";1066;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"28258";"PALMEIRA DOS ÍNDIOS";10;171;1676983;670274362705095480565461;"542E20D2";"2024-09-24 08:03:00";"N";1112;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27057";"ARAPIRACA";22;547;2073061;576093075418204182233600;"104B106E";"2024-09-27 11:47:00";"N";1651;"RALWGERA18";"73D21F006D5E9BA7989A";"CDDF693C";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"28592";"SANTANA DO IPANEMA";19;117;1671562;853191784174536430054384;"CF827009";"2024-09-20 15:10:00";"N";1058;"RALWGERA19";"C1836E163E18A5743392";"1332114E";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27855";"MACEIÓ";54;346;2440326;105189319752639397411394;"F6F241EB";"2024-09-29 08:56:00";"N";1490;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27855";"MACEIÓ";1;48;2442192;751686910777714004251124;"4A71C3D4";"2024-09-28 13:56:00";"N";1090;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27553";"FLEXEIRAS";53;74;2072123;81076017782615173057426;"0036D6A2";"2024-09-26 13:35:00";"N";1104;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27057";"ARAPIRACA";22;504;2458112;899225789840118986301264;"4CDE45F2";"2024-09-27 11:15:00";"N";1155;"RALWGERA18";"73D21F006D5E9BA7989A";"CDDF693C";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27596";"IBATEGUARA";16;146;2452838;270000300734159085224324;"91467DDC";"2024-09-26 10:13:00";"N";1015;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27499";"DOIS RIACHOS";46;58;1821977;80102310715688731108883;"13472DA5";"2024-09-22 08:43:00";"N";1112;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"28550";"ROTEIRO";18;74;2443035;776172707213804259041066;"EB059069";"2024-09-23 10:19:00";"N";1023;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27170";"BELO MONTE";29;53;2038324;471660154918761077806192;"B923336C";"2024-09-21 13:38:00";"N";1015;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27855";"MACEIÓ";1;248;2439910;105121444474178008432342;"E6F8378B";"2024-09-28 09:23:00";"N";1597;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27855";"MACEIÓ";3;275;2443295;468779682144025525994658;"E8DA584E";"2024-09-29 10:45:00";"N";1287;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"28673";"SÃO JOSÉ DA TAPERA";51;20;1672221;317177452290206731475977;"FA36B9A5";"2024-09-22 11:08:00";"N";1082;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"28878";"VIÇOSA";5;55;1667479;373692270339974724190842;"BA8D5122";"2024-09-25 13:46:00";"N";1058;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27219";"BRANQUINHA";9;19;2072136;120311181903449328695771;"AAABF232";"2024-09-26 13:32:00";"N";1180;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27650";"INHAPI";39;83;1668100;483068374411678208286026;"A03DF62A";"2024-09-21 09:02:00";"N";1023;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
